DEBUG 2025-12-26 17:44:42,092 ua_client Sending: CloseSecureChannelRequest(TypeId:{self.TypeId}, RequestHeader:{self.RequestHeader})
INFO 2025-12-26 17:44:42,095 ua_client Request to close socket received
WARNING 2025-12-26 17:44:42,097 opcua_client ⚠️ mityana bh1: Failed to disconnect stale client: 'NoneType' object has no attribute 'socket'
INFO 2025-12-26 17:44:42,100 auth_ua [32m✅ Using Anonymous Authentication[0m
INFO 2025-12-26 17:44:42,102 opcua_client [36m🔐 Using Anonymous Authentication for mityana bh1[0m
INFO 2025-12-26 17:44:42,104 ua_client opening connection
INFO 2025-12-26 17:44:42,151 signals 🔄 Server list changed. Restarting OPC UA clients...
WARNING 2025-12-26 17:44:42,153 opcua_client ⚠️ OPC UA client check already running. Skipping duplicate execution.
INFO 2025-12-26 17:44:42,155 opcua_client [36m🔄 mityana bh1 status updated to faulty[0m
ERROR 2025-12-26 17:44:42,159 opcua_client [31m Connection failed: [Errno -5] No address associated with hostname[0m
WARNING 2025-12-26 17:44:42,165 opcua_client [33m🔄 Retrying connection to mityana bh1...[0m
INFO 2025-12-26 17:44:44,387 signals 🔄 Server list changed. Restarting OPC UA clients...
WARNING 2025-12-26 17:44:44,389 opcua_client ⚠️ OPC UA client check already running. Skipping duplicate execution.
INFO 2025-12-26 17:44:44,391 opcua_client [36m🔄 testing status updated to faulty[0m
ERROR 2025-12-26 17:44:44,400 opcua_client [31m Connection failed: [Errno 22] Invalid argument[0m
WARNING 2025-12-26 17:44:44,404 opcua_client [33m🔄 Retrying connection to testing...[0m
INFO 2025-12-26 17:44:47,406 opcua_client 🔎 Total server configs found: 4
INFO 2025-12-26 17:44:47,411 opcua_client 🟢 Found 4 active servers:
INFO 2025-12-26 17:44:47,415 opcua_client 🔄 Next server status check in 30 seconds...
INFO 2025-12-26 17:44:47,418 read_data 🚀 Node reading thread started.
INFO 2025-12-26 17:45:03,298 ua_client close_session
INFO 2025-12-26 17:45:03,300 ua_client close_secure_channel
DEBUG 2025-12-26 17:45:03,302 ua_client Sending: CloseSecureChannelRequest(TypeId:{self.TypeId}, RequestHeader:{self.RequestHeader})
INFO 2025-12-26 17:45:03,304 ua_client Request to close socket received
WARNING 2025-12-26 17:45:03,306 opcua_client ⚠️ Lutete Bore hole: Failed to disconnect stale client: 'NoneType' object has no attribute 'socket'
INFO 2025-12-26 17:45:03,309 auth_ua [32m✅ Using Anonymous Authentication[0m
INFO 2025-12-26 17:45:03,312 opcua_client [36m🔐 Using Anonymous Authentication for Lutete Bore hole[0m
INFO 2025-12-26 17:45:03,314 ua_client opening connection
INFO 2025-12-26 17:45:08,826 ua_client close_session
INFO 2025-12-26 17:45:08,828 ua_client close_secure_channel
DEBUG 2025-12-26 17:45:08,830 ua_client Sending: CloseSecureChannelRequest(TypeId:{self.TypeId}, RequestHeader:{self.RequestHeader})
INFO 2025-12-26 17:45:08,832 ua_client Request to close socket received
WARNING 2025-12-26 17:45:08,833 opcua_client ⚠️ Bombo bh1: Failed to disconnect stale client: 'NoneType' object has no attribute 'socket'
INFO 2025-12-26 17:45:08,835 auth_ua [32m✅ Using Anonymous Authentication[0m
INFO 2025-12-26 17:45:08,836 opcua_client [36m🔐 Using Anonymous Authentication for Bombo bh1[0m
INFO 2025-12-26 17:45:08,837 ua_client opening connection
INFO 2025-12-26 17:45:15,119 ua_client close_session
INFO 2025-12-26 17:45:15,121 ua_client close_secure_channel
DEBUG 2025-12-26 17:45:15,123 ua_client Sending: CloseSecureChannelRequest(TypeId:{self.TypeId}, RequestHeader:{self.RequestHeader})
INFO 2025-12-26 17:45:15,125 ua_client Request to close socket received
WARNING 2025-12-26 17:45:15,128 opcua_client ⚠️ mityana bh1: Failed to disconnect stale client: 'NoneType' object has no attribute 'socket'
INFO 2025-12-26 17:45:15,130 auth_ua [32m✅ Using Anonymous Authentication[0m
INFO 2025-12-26 17:45:15,133 opcua_client [36m🔐 Using Anonymous Authentication for mityana bh1[0m
INFO 2025-12-26 17:45:15,135 ua_client opening connection
INFO 2025-12-26 17:45:09,279 signals 🔄 Server list changed. Restarting OPC UA clients...
WARNING 2025-12-26 17:45:09,282 opcua_client ⚠️ OPC UA client check already running. Skipping duplicate execution.
INFO 2025-12-26 17:45:09,284 opcua_client [36m🔄 mityana bh1 status updated to faulty[0m
ERROR 2025-12-26 17:45:09,289 opcua_client [31m Connection failed: [Errno -5] No address associated with hostname[0m
WARNING 2025-12-26 17:45:09,295 opcua_client [33m🔄 Retrying connection to mityana bh1...[0m
INFO 2025-12-26 17:45:10,329 signals 🔄 Server list changed. Restarting OPC UA clients...
WARNING 2025-12-26 17:45:10,332 opcua_client ⚠️ OPC UA client check already running. Skipping duplicate execution.
INFO 2025-12-26 17:45:10,334 opcua_client [36m🔄 Lutete Bore hole status updated to faulty[0m
ERROR 2025-12-26 17:45:10,343 opcua_client [31m Connection failed: [Errno 22] Invalid argument[0m
WARNING 2025-12-26 17:45:10,347 opcua_client [33m🔄 Retrying connection to Lutete Bore hole...[0m
INFO 2025-12-26 17:45:11,397 ua_client close_session
INFO 2025-12-26 17:45:11,399 ua_client close_secure_channel
DEBUG 2025-12-26 17:45:11,401 ua_client Sending: CloseSecureChannelRequest(TypeId:{self.TypeId}, RequestHeader:{self.RequestHeader})
INFO 2025-12-26 17:45:11,404 ua_client Request to close socket received
WARNING 2025-12-26 17:45:11,406 opcua_client ⚠️ testing: Failed to disconnect stale client: 'NoneType' object has no attribute 'socket'
INFO 2025-12-26 17:45:11,409 auth_ua [32m✅ Using Anonymous Authentication[0m
INFO 2025-12-26 17:45:11,411 opcua_client [36m🔐 Using Anonymous Authentication for testing[0m
INFO 2025-12-26 17:45:11,413 ua_client opening connection
INFO 2025-12-26 17:45:15,946 signals 🔄 Server list changed. Restarting OPC UA clients...
WARNING 2025-12-26 17:45:15,949 opcua_client ⚠️ OPC UA client check already running. Skipping duplicate execution.
INFO 2025-12-26 17:45:15,950 opcua_client [36m🔄 Bombo bh1 status updated to faulty[0m
ERROR 2025-12-26 17:45:15,959 opcua_client [31m Connection failed: [Errno 22] Invalid argument[0m
WARNING 2025-12-26 17:45:15,963 opcua_client [33m🔄 Retrying connection to Bombo bh1...[0m
INFO 2025-12-26 17:45:18,933 signals 🔄 Server list changed. Restarting OPC UA clients...
WARNING 2025-12-26 17:45:18,934 opcua_client ⚠️ OPC UA client check already running. Skipping duplicate execution.
INFO 2025-12-26 17:45:18,936 opcua_client [36m🔄 testing status updated to faulty[0m
ERROR 2025-12-26 17:45:18,944 opcua_client [31m Connection failed: [Errno 22] Invalid argument[0m
WARNING 2025-12-26 17:45:18,947 opcua_client [33m🔄 Retrying connection to testing...[0m
INFO 2025-12-26 17:45:36,801 ua_client close_session
INFO 2025-12-26 17:45:36,803 ua_client close_secure_channel
